last_modified,publisher,title,author_key,author_type,author_revision,author_last_modified,author_name,publish_date,type,key,subject,latest_revision,revision,number_of_pages
2022-11-15T20:13:03.789779,Palgrave Macmillan,Brodie's Notes on Emily Bronte's "Wuthering Heights" (Brodies Notes),OL1158982A,author,2,2008-08-19 18:21:52.259027,Norman T. Carrington,"August 7, 1992",edition,OL10551435M,English literature: literary criticism,13,13,127
2022-11-15T20:13:03.789779,Palgrave Macmillan,Brodie's Notes on Emily Bronte's "Wuthering Heights" (Brodies Notes),OL1158982A,author,2,2008-08-19 18:21:52.259027,Norman T. Carrington,"August 7, 1992",edition,OL10551435M,"Novels, other prose & writers: 19th century",13,13,127
2022-11-15T20:13:03.789779,Palgrave Macmillan,Brodie's Notes on Emily Bronte's "Wuthering Heights" (Brodies Notes),OL1158982A,author,2,2008-08-19 18:21:52.259027,Norman T. Carrington,"August 7, 1992",edition,OL10551435M,Designed / suitable for A & AS Level,13,13,127
2022-11-15T20:13:03.789779,Palgrave Macmillan,Brodie's Notes on Emily Bronte's "Wuthering Heights" (Brodies Notes),OL1158982A,author,2,2008-08-19 18:21:52.259027,Norman T. Carrington,"August 7, 1992",edition,OL10551435M,For National Curriculum Key Stage 4 & GCSE,13,13,127
2022-11-15T20:13:03.789779,Palgrave Macmillan,Brodie's Notes on Emily Bronte's "Wuthering Heights" (Brodies Notes),OL1158982A,author,2,2008-08-19 18:21:52.259027,Norman T. Carrington,"August 7, 1992",edition,OL10551435M,"Study guides, home study & revision notes",13,13,127
2022-11-15T20:13:03.789779,Palgrave Macmillan,Brodie's Notes on Emily Bronte's "Wuthering Heights" (Brodies Notes),OL1158982A,author,2,2008-08-19 18:21:52.259027,Norman T. Carrington,"August 7, 1992",edition,OL10551435M,English,13,13,127
2022-11-15T20:13:03.789779,Palgrave Macmillan,Brodie's Notes on Emily Bronte's "Wuthering Heights" (Brodies Notes),OL1158982A,author,2,2008-08-19 18:21:52.259027,Norman T. Carrington,"August 7, 1992",edition,OL10551435M,Children: Young Adult (Gr. 7-9),13,13,127
2010-04-13T09:56:10.635564,P. Schettlers,"Aristophanes, ein Spiegel unserer Zeit.",OL4473583A,author,1,2008-09-02 18:39:32.675717,A. B Kneisel,1913,edition,OL13994901M,Aristophanes,3,3,78
2022-12-05T06:01:35.024861,Presidio,War in Europe,OL581008A,author,2,2008-08-30 03:01:23.375753,Sidney C. Moody,1993,edition,OL1413776M,"World War, 1939-1945 -- Campaigns -- Europe.",10,10,192
2022-12-05T06:01:35.024861,Presidio,War in Europe,OL581008A,author,2,2008-08-30 03:01:23.375753,Sidney C. Moody,1993,edition,OL1413776M,"World War, 1939-1945 -- Campaigns -- Europe -- Pictorial works.",10,10,192
2012-08-08T21:10:59.924864,Times Printing Company,Muskoka sketch,OL5295787A,author,1,2008-09-28 21:35:54.283711,W. E. Hamilton,1983,edition,OL21357082M,Muskoka (Ont. : District) -- Description and travel.,5,5,26
2012-08-08T21:10:59.924864,Times Printing Company,Muskoka sketch,OL5295787A,author,1,2008-09-28 21:35:54.283711,W. E. Hamilton,1983,edition,OL21357082M,Muskoka (Ont. : District) -- History.,5,5,26
2012-08-07T10:18:24.946860,Printed by H. Colbert,"A Letter to Alexander Knox, Esq. M.R.I.A.",OL2555401A,author,2,2012-06-07T08:18:43.478466,"Walker, John",1803,edition,OL22885087M,Methodists -- Ireland.,3,3,200
2020-05-21T10:17:30.189173,L.J. Demers,"Les Institutions de credit-foncier. Quelques notes sur leur but, leur organisation et leur origine",OL5288239A,author,1,2008-09-28 19:19:44.680177,L. N. Carrier,1880,edition,OL25465456M,Credit,2,2,48
2020-05-21T10:17:30.189173,L.J. Demers,"Les Institutions de credit-foncier. Quelques notes sur leur but, leur organisation et leur origine",OL5288239A,author,1,2008-09-28 19:19:44.680177,L. N. Carrier,1880,edition,OL25465456M,Banks and banking,2,2,48
2020-05-15T03:58:15.877548,"Biblica, Publications de Saint André",Psaumes et prière chrétienne,OL2153880A,author,1,2008-04-01 03:28:50.625462,"Rose, A.",1965,edition,OL26545029M,"Criticism, interpretation",3,3,298
2020-05-15T03:58:15.877548,"Biblica, Publications de Saint André",Psaumes et prière chrétienne,OL2153880A,author,1,2008-04-01 03:28:50.625462,"Rose, A.",1965,edition,OL26545029M,Bible,3,3,298
